rank,company_name,website,focus_check,focus_evidence,companies_house_number,companies_house_name,match_confidence,latest_accounts_period_end,revenue_gbp,revenue_period_end,profit_gbp,profit_period_end,other_metric_label,other_metric_value_gbp,other_metric_period_end,note
24,Glass Door Repair London,https://glassdoorrepairlondon.co.uk/,repair-first,website: emergency and same-day glass door repairs,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
25,UK Commercial Glaziers,https://ukcommercialglaziers.co.uk/locations/,repair-first,website: commercial glazing repair and replace services,07977627,CAPITAL GLAZIERS UK LIMITED,high,2024-12-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,19438,2024-12-31,
26,Commercial Glaziers London,https://www.commercialglaziers.london/,repair-first,website: commercial glass replacement and repair,11683487,PRESTIGE GLAZIERS LONDON LTD,high,2019-11-30,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,2975,2019-11-30,
27,Prompt Glazing,http://promptglazingltd.co.uk/,repair-first,website: 24 hour emergency glazing repairs,05080445,PROMPT GLAZING LTD,high,2025-02-28,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,133346,2025-02-28,
28,All Emergency Services,https://www.allemergencyservices.com/glazing.htm,repair-first,website: emergency glazing and shopfront repair operation,06397697,ALL EMERGENCY SERVICES LIMITED,high,2025-03-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,2345846,2025-03-31,
29,UK Glassforce,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,05815330,UK GLASSFORCE LTD,high,I don't know,I don't know,I don't know,36007,0000-00-00,NetAssetsLiabilitiesIncludingPensionAssetLiability,36407,0000-00-00,
30,Glassolutions Installation,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,09190264,HYDRATEC GLASSOLUTIONS LTD,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
31,All London Glass (UK),https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,03611383,ALL LONDON GLASS (UK) LIMITED,high,2024-12-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,490124,2024-12-31,
32,GG Glass and Glazing,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,06510420,GG GLASS AND GLAZING LIMITED,high,2025-07-31,I don't know,I don't know,991972,2025-07-31,NetAssetsLiabilities,5125144,2025-07-31,
33,Langley Glazing,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,04169960,LANGLEY GLAZING LIMITED,high,2023-03-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,-41235,2023-03-31,
34,Emergency Glazing Services Leicester,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,11314669,LEICESTER GLASS & GLAZING LTD,high,2024-04-30,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,28029,2024-04-30,
35,Roman Glass,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,04186679,ROMAN GLASS LIMITED,high,2022-11-30,9822389,2022-11-30,4080023,2022-11-30,NetAssetsLiabilities,3885271,2022-11-30,
36,John Hunter Glazing,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,NI608155,JOHN HUNTER GLAZING LIMITED,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
37,Enterprise Glass,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,10526843,GLASS MILL SOCIAL ENTERPRISE CIC,high,2023-12-31,17028,2023-12-31,-17747,2023-12-31,NetAssetsLiabilities,-50942,2023-12-31,
38,Noble Glazing Co,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,12442984,NOBLE GLAZING LTD,high,2025-02-28,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,47855,2025-02-28,
39,All Glass and Glazing Installations,https://www.ggf.org.uk/emergency-glazing-register/,repair-first,GGF emergency register member listing,15884179,ALL GLASS AND GLAZING INSTALLATIONS LTD,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
40,Spectra-Glaze Services,https://www.ggf.org.uk/members/spectra-glaze-services/,repair-first,GGF member profile: glazing repairs and window/door repairs,OC440991,SPECTRA-GLAZE SERVICES LLP,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
41,Window Repair Wales+,https://www.ggf.org.uk/members/window-repair-wales-limited/,repair-first,GGF member profile: repairs to windows/doors and replacement glass units,13552610,WINDOW REPAIR WALES+ LTD,high,2024-10-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,14820,2024-10-31,
42,Nation Wide Shop Front,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
43,Diamond Glass,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,07197551,DIAMOND GLASS LTD,high,I don't know,I don't know,I don't know,68640,0000-00-00,I don't know,I don't know,I don't know,
44,Clear Glazing Walthamstow,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
45,WD40 Glass Services,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,SC663268,WD40 MAINTENANCE LTD,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
46,Adam & Ben Glazing,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,03578121,ADAM BENCH ARCHITECTS LIMITED,medium,2025-07-31,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
47,Rolands Glass and Glazing,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
48,Surrey & South London Glassworks,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
49,Balham Glaziers & Window Repairs,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
50,Acton Glazing,https://london.infoisinfo.co.uk/search/glass-repair,repair-first,infoisinfo list: top glass repair companies in London,OC322739,ACTON LLP,high,2024-12-31,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
